timestamp,power,tag                             #predictions_interval=0.2
2025-06-02 17:41:42.247687, 1.868,
2025-06-02 17:41:42.275910, 1.856,
2025-06-02 17:41:42.304352, 2.000,
2025-06-02 17:41:42.332217, 1.820,
2025-06-02 17:41:42.360496, 1.868,
2025-06-02 17:41:42.388254, 1.860,
2025-06-02 17:41:42.418069, 1.900,
2025-06-02 17:41:42.500184, 2.216,
2025-06-02 17:41:42.555353, 1.828,
2025-06-02 17:41:42.627902, 1.940,
2025-06-02 17:41:42.667683, 1.952,
2025-06-02 17:41:42.705538, 2.204,
2025-06-02 17:41:42.738794, 2.220,
2025-06-02 17:41:42.767308, 1.880,
2025-06-02 17:41:42.795817, 1.856,
2025-06-02 17:41:42.825491, 1.848,
2025-06-02 17:41:42.853956, 1.836,
2025-06-02 17:41:42.881947, 1.848,
2025-06-02 17:41:42.910829, 1.888,
2025-06-02 17:41:42.939453, 1.860,
2025-06-02 17:41:42.968497, 1.828,
2025-06-02 17:41:42.996850, 1.848,
2025-06-02 17:41:43.025089, 1.868,
2025-06-02 17:41:43.053756, 1.860,
2025-06-02 17:41:43.082511, 1.848,
2025-06-02 17:41:43.110827, 1.868,
2025-06-02 17:41:43.143145, 1.992,
2025-06-02 17:41:43.171783, 1.876,
2025-06-02 17:41:43.200288, 1.808,
2025-06-02 17:41:43.230098, 1.948,
2025-06-02 17:41:43.258716, 1.868,
2025-06-02 17:41:43.287039, 1.860,
2025-06-02 17:41:43.316679, 1.896,
2025-06-02 17:41:43.346212, 1.816,
2025-06-02 17:41:43.374891, 1.868,
2025-06-02 17:41:43.403371, 1.876,
2025-06-02 17:41:43.431943, 1.880,
2025-06-02 17:41:43.460761, 1.840,
2025-06-02 17:41:43.489235, 1.868,
2025-06-02 17:41:43.518507, 1.896,
2025-06-02 17:41:43.547310, 1.860,
2025-06-02 17:41:43.576090, 1.816,
2025-06-02 17:41:43.604726, 1.856,
2025-06-02 17:41:43.636330, 1.928,
2025-06-02 17:41:43.667068, 1.928,
2025-06-02 17:41:43.695867, 1.868,
2025-06-02 17:41:43.724556, 1.868,
2025-06-02 17:41:43.753784, 1.840,
2025-06-02 17:41:43.782509, 1.856,
2025-06-02 17:41:43.811241, 1.856,
2025-06-02 17:41:43.840821, 1.960,
2025-06-02 17:41:43.870854, 1.860,
2025-06-02 17:41:43.899824, 1.848,
2025-06-02 17:41:43.929192, 1.868,
2025-06-02 17:41:43.958232, 1.860,
2025-06-02 17:41:43.987382, 1.860,
2025-06-02 17:41:44.016256, 1.808,
2025-06-02 17:41:44.045392, 1.896,
2025-06-02 17:41:44.074256, 1.860,
2025-06-02 17:41:44.102955, 1.860,
2025-06-02 17:41:44.132178, 1.860,
2025-06-02 17:41:44.165585, 1.848,
2025-06-02 17:41:44.194655, 1.828,
2025-06-02 17:41:44.223794, 1.860,
2025-06-02 17:41:44.252793, 1.928,
2025-06-02 17:41:44.282015, 1.868,
2025-06-02 17:41:44.311007, 1.816,
2025-06-02 17:41:44.340389, 1.856,
2025-06-02 17:41:44.369910, 1.848,
2025-06-02 17:41:44.402137, 1.856,
2025-06-02 17:41:44.431800, 1.868,
2025-06-02 17:41:44.461656, 1.868,
2025-06-02 17:41:44.490861, 1.808,
2025-06-02 17:41:44.520829, 1.856,
2025-06-02 17:41:44.550666, 1.856,
2025-06-02 17:41:44.580152, 1.868,
2025-06-02 17:41:44.609192, 1.868,
2025-06-02 17:41:44.641059, 1.848,
2025-06-02 17:41:44.671231, 1.868,
2025-06-02 17:41:44.700846, 1.836,
2025-06-02 17:41:44.730568, 1.856,
2025-06-02 17:41:44.760890, 1.968,
2025-06-02 17:41:44.790104, 1.876,
2025-06-02 17:41:44.819336, 1.868,
2025-06-02 17:41:44.848523, 1.836,
2025-06-02 17:41:44.877888, 1.868,
2025-06-02 17:41:44.907450, 1.900,
2025-06-02 17:41:44.936815, 1.868,
2025-06-02 17:41:44.965983, 1.876,
2025-06-02 17:41:44.995841, 1.836,
2025-06-02 17:41:45.025170, 1.868,
2025-06-02 17:41:45.055510, 1.896,
2025-06-02 17:41:45.085005, 1.860,
2025-06-02 17:41:45.114504, 1.868,
2025-06-02 17:41:45.146222, 1.880,
2025-06-02 17:41:45.176931, 2.000,
2025-06-02 17:41:45.206766, 1.840,
2025-06-02 17:41:45.236500, 1.848,
2025-06-02 17:41:45.266287, 1.860,
2025-06-02 17:41:45.295801, 1.856,
2025-06-02 17:41:45.325729, 1.856,
2025-06-02 17:41:45.355510, 1.816,
2025-06-02 17:41:45.385555, 1.888,
2025-06-02 17:41:45.415069, 1.856,
2025-06-02 17:41:45.446199, 1.912,
2025-06-02 17:41:45.475831, 1.980,
2025-06-02 17:41:45.506490, 1.860,
2025-06-02 17:41:45.536363, 1.816,
2025-06-02 17:41:45.566459, 1.888,
2025-06-02 17:41:45.596797, 1.896,
2025-06-02 17:41:45.626614, 1.888,
2025-06-02 17:41:45.661704, 2.076,
2025-06-02 17:41:45.691969, 1.860,
2025-06-02 17:41:45.722567, 1.868,
2025-06-02 17:41:45.752853, 1.848,
2025-06-02 17:41:45.786363, 2.268,
2025-06-02 17:41:45.822077, 2.096,
2025-06-02 17:41:45.855450, 2.104,
2025-06-02 17:41:45.886916, 2.176,
2025-06-02 17:41:45.920451, 2.128,
2025-06-02 17:41:45.950796, 1.856,
2025-06-02 17:41:45.980704, 1.868,
2025-06-02 17:41:46.010738, 1.848,
2025-06-02 17:41:46.041024, 1.840,
2025-06-02 17:41:46.072049, 1.876,
2025-06-02 17:41:46.102176, 1.860,
2025-06-02 17:41:46.132577, 1.856,
2025-06-02 17:41:46.166599, 2.004,
2025-06-02 17:41:46.197119, 1.920,
2025-06-02 17:41:46.227655, 1.856,
2025-06-02 17:41:46.257849, 1.868,
2025-06-02 17:41:46.288119, 1.828,
2025-06-02 17:41:46.319072, 1.868,
2025-06-02 17:41:46.349605, 1.848,
2025-06-02 17:41:46.379788, 2.076,
2025-06-02 17:41:46.412199, 2.076,
2025-06-02 17:41:46.444658, 2.176,
2025-06-02 17:41:46.476603, 1.880,
2025-06-02 17:41:46.508517, 1.876,
2025-06-02 17:41:46.538930, 1.856,
2025-06-02 17:41:46.569253, 1.856,
2025-06-02 17:41:46.599686, 1.932,
2025-06-02 17:41:46.630053, 1.820,
2025-06-02 17:41:46.665397, 1.896,
2025-06-02 17:41:46.696989, 1.888,
2025-06-02 17:41:46.727425, 1.836,
2025-06-02 17:41:46.757814, 1.856,
2025-06-02 17:41:46.790107, 1.896,
2025-06-02 17:41:46.821412, 1.876,
2025-06-02 17:41:46.852308, 1.840,
2025-06-02 17:41:46.883723, 1.848,
2025-06-02 17:41:46.914620, 1.888,
2025-06-02 17:41:46.945653, 1.840,
2025-06-02 17:41:46.976988, 1.888,
2025-06-02 17:41:47.007775, 1.900,
2025-06-02 17:41:47.039122, 1.840,
2025-06-02 17:41:47.070747, 1.848,
2025-06-02 17:41:47.104006, 1.840,
2025-06-02 17:41:47.139937, 1.868,
2025-06-02 17:41:47.176106, 1.952,
2025-06-02 17:41:47.207247, 1.840,
2025-06-02 17:41:47.238297, 1.836,
2025-06-02 17:41:47.269526, 1.820,
2025-06-02 17:41:47.300286, 1.808,
2025-06-02 17:41:47.330978, 1.912,
2025-06-02 17:41:47.362123, 1.848,
2025-06-02 17:41:47.394118, 1.860,
2025-06-02 17:41:47.424953, 1.920,
2025-06-02 17:41:47.455856, 1.836,
2025-06-02 17:41:47.488729, 1.868,
2025-06-02 17:41:47.521458, 1.876,
2025-06-02 17:41:47.553193, 1.896,
2025-06-02 17:41:47.585150, 1.856,
2025-06-02 17:41:47.616073, 1.848,
2025-06-02 17:41:47.648151, 1.876,
2025-06-02 17:41:47.690258, 2.176,
2025-06-02 17:41:47.727857, 2.012,
2025-06-02 17:41:47.758931, 1.828,
2025-06-02 17:41:47.789880, 1.816,
2025-06-02 17:41:47.821508, 1.840,
2025-06-02 17:41:47.852654, 1.856,
2025-06-02 17:41:47.883934, 1.856,
2025-06-02 17:41:47.915796, 1.860,
2025-06-02 17:41:47.947911, 1.836,
2025-06-02 17:41:47.979202, 1.840,
2025-06-02 17:41:48.010580, 1.848,
2025-06-02 17:41:48.041835, 1.876,
2025-06-02 17:41:48.073270, 1.860,
2025-06-02 17:41:48.105515, 1.868,
2025-06-02 17:41:48.137173, 1.948,
2025-06-02 17:41:48.173597, 2.000,
2025-06-02 17:41:48.215263, 2.188,
2025-06-02 17:41:48.247344, 1.920,
2025-06-02 17:41:48.278991, 1.856,
2025-06-02 17:41:48.310672, 1.856,
2025-06-02 17:41:48.342041, 1.836,
2025-06-02 17:41:48.373998, 1.876,
2025-06-02 17:41:48.405483, 1.860,
2025-06-02 17:41:48.436941, 1.856,
2025-06-02 17:41:48.468593, 1.856,
2025-06-02 17:41:48.500145, 1.848,
2025-06-02 17:41:48.532864, 1.896,
2025-06-02 17:41:48.565202, 1.908,
2025-06-02 17:41:48.597216, 1.888,
2025-06-02 17:41:48.628994, 1.856,
2025-06-02 17:41:48.667027, 1.840,
2025-06-02 17:41:48.701072, 1.860,
2025-06-02 17:41:48.733105, 1.928,
2025-06-02 17:41:48.765413, 1.880,
2025-06-02 17:41:48.797037, 1.840,
2025-06-02 17:41:48.829672, 1.868,
2025-06-02 17:41:48.863564, 2.012,
2025-06-02 17:41:48.896098, 1.868,
2025-06-02 17:41:48.928640, 1.860,
2025-06-02 17:41:48.961546, 1.960,
